Benchmark_Name,CARL Miss Count
,Small Dataset,,Medium Dataset,,Large Dataset
,Single-Level,Multi-Level,Single-Level,Multi-Level,Single-Level,Multi-Level
2mm,7907,1948,6745227,840305,1543776284,880413334
3mm,16664,1691,10327521,1321756,2525121055,1495185958
adi,68968,32883,5923243,1940000,1257305250,600147256
atax,1096,506,9620,10491,674328,247425
bicg,889,608,11868,10868,519993,245952
cholesky,15471,953,693702,595375,84939597,84475823
correlation,165447,1265,10890790,476230,1918935172,1639271911
covariance,156195,1523,10896153,466703,1918444821,1639724504
deriche,22574,24293,1138726,571390,39747098,37130448
doitgen,2618,747,301220,8751,167641963,26235510
durbin,22,37,76,66,219596,1093
fdtd-2d,73548,33473,2105871,1703184,265216706,263022920
floyd-warshall,339433,321089,7805161,7755087,1760993970,1375271410
gemm,17464,1859,663131,572159,81228253,82851017
gemver,4219,1453,40702,29563,4578756,3615133
gesummv,1050,1171,8090,7323,217190,211374
gramschmidt,13645,1873,15712613,382198,2703116387,2227232294
heat-3d,66773,32937,2070663,1502034,407804582,364329244
jacobi-1d,519,602,53,1283,128240,1269
jacobi-2d,72157,42715,1517191,1452849,261851386,211574153
lu,31270,1437,10660337,1292948,2527386255,1605160961
ludcmp,31251,1940,10531342,1296965,2514894467,1606749278
mvt,1822,938,98694,25384,4288872,3455223
nussinov,68205,38962,12880597,1358035,2528206539,1805948139
seidel-2d,30226,25028,965269,1002732,250582136,125434067
symm,16831,1148,5801345,571153,1130520141,859890316
syr2k,27141,2280,7758318,707208,1381683424,1064000868
syrk,8159,700,1882677,313260,656251624,345885420
trisolv,1354,355,6632,4936,133430,128416
trmm,7886,1439,5028988,271031,1085138575,738445605
