seed,rate,num_ways,cache_size,policy,dataset_Size,benchmark_name,predicted_misses
1,64,512,512,CLAM,small,deriche,23113
1,64,512,512,CLAM,small,fdtd-2d,35395
1,64,512,512,CLAM,small,syrk,1352
1,64,512,512,CLAM,small,nussinov,36026
1,64,512,512,CLAM,small,durbin,37
1,64,512,512,CLAM,small,2mm,1688
1,64,512,512,CLAM,small,gramschmidt,1336
1,64,512,512,CLAM,small,3mm,2202
1,64,512,512,CLAM,small,adi,35124
1,64,512,512,CLAM,small,symm,1335
1,64,512,512,CLAM,small,syr2k,2193
1,64,512,512,CLAM,small,cholesky,912
1,64,512,512,CLAM,small,atax,894
1,64,512,512,CLAM,small,gemver,1238
1,64,512,512,CLAM,small,gemm,1281
1,64,512,512,CLAM,small,jacobi-2d,43456
1,64,512,512,CLAM,small,jacobi-1d,356
1,64,512,512,CLAM,small,mvt,935
1,64,512,512,CLAM,small,heat-3d,34643
1,64,512,512,CLAM,small,trmm,755
1,64,512,512,CLAM,small,covariance,1230
1,64,512,512,CLAM,small,correlation,1169
1,64,512,512,CLAM,small,trisolv,546
1,64,512,512,CLAM,small,ludcmp,2370
1,64,512,512,CLAM,small,bicg,781
1,64,512,512,CLAM,small,lu,1471
1,64,512,512,CLAM,small,seidel-2d,24962
1,64,512,512,CLAM,small,gesummv,1422
1,64,512,512,CLAM,small,floyd-warshall,320675
1,64,512,512,CLAM,small,doitgen,1403
1,64,512,512,CLAM,medium,deriche,592893
1,64,512,512,CLAM,medium,fdtd-2d,1749054
1,64,512,512,CLAM,medium,syrk,303757
1,64,512,512,CLAM,medium,nussinov,1352807
1,64,512,512,CLAM,medium,durbin,66
1,64,512,512,CLAM,medium,2mm,854926
1,64,512,512,CLAM,medium,gramschmidt,366037
1,64,512,512,CLAM,medium,3mm,1300000
1,64,512,512,CLAM,medium,adi,1968967
1,64,512,512,CLAM,medium,symm,571885
1,64,512,512,CLAM,medium,syr2k,712608
1,64,512,512,CLAM,medium,cholesky,598652
1,64,512,512,CLAM,medium,atax,12216
1,64,512,512,CLAM,medium,gemver,32269
1,64,512,512,CLAM,medium,gemm,570813
1,64,512,512,CLAM,medium,jacobi-2d,1452793
1,64,512,512,CLAM,medium,jacobi-1d,459
1,64,512,512,CLAM,medium,mvt,21870
1,64,512,512,CLAM,medium,heat-3d,1502126
1,64,512,512,CLAM,medium,trmm,258832
1,64,512,512,CLAM,medium,covariance,492004
1,64,512,512,CLAM,medium,correlation,499178
1,64,512,512,CLAM,medium,trisolv,5249
1,64,512,512,CLAM,medium,ludcmp,1303305
1,64,512,512,CLAM,medium,bicg,10472
1,64,512,512,CLAM,medium,lu,1282111
1,64,512,512,CLAM,medium,seidel-2d,993536
1,64,512,512,CLAM,medium,gesummv,8357
1,64,512,512,CLAM,medium,floyd-warshall,7787546
1,64,512,512,CLAM,medium,doitgen,9314
1,128,512,512,CLAM,small,deriche,22886
1,128,512,512,CLAM,small,fdtd-2d,31645
1,128,512,512,CLAM,small,syrk,1388
1,128,512,512,CLAM,small,nussinov,38312
1,128,512,512,CLAM,small,durbin,37
1,128,512,512,CLAM,small,2mm,955
1,128,512,512,CLAM,small,gramschmidt,1882
1,128,512,512,CLAM,small,3mm,2168
1,128,512,512,CLAM,small,adi,38349
1,128,512,512,CLAM,small,symm,1683
1,128,512,512,CLAM,small,syr2k,2390
1,128,512,512,CLAM,small,cholesky,718
1,128,512,512,CLAM,small,atax,541
1,128,512,512,CLAM,small,gemver,2214
1,128,512,512,CLAM,small,gemm,1085
1,128,512,512,CLAM,small,jacobi-2d,41693
1,128,512,512,CLAM,small,jacobi-1d,445
1,128,512,512,CLAM,small,mvt,1074
1,128,512,512,CLAM,small,heat-3d,34638
1,128,512,512,CLAM,small,trmm,632
1,128,512,512,CLAM,small,covariance,1955
1,128,512,512,CLAM,small,correlation,1445
1,128,512,512,CLAM,small,trisolv,523
1,128,512,512,CLAM,small,ludcmp,1640
1,128,512,512,CLAM,small,bicg,832
1,128,512,512,CLAM,small,lu,1985
1,128,512,512,CLAM,small,seidel-2d,25746
1,128,512,512,CLAM,small,gesummv,855
1,128,512,512,CLAM,small,floyd-warshall,313765
1,128,512,512,CLAM,small,doitgen,1263
1,128,512,512,CLAM,medium,deriche,588442
1,128,512,512,CLAM,medium,fdtd-2d,1749721
1,128,512,512,CLAM,medium,syrk,307748
1,128,512,512,CLAM,medium,nussinov,1384676
1,128,512,512,CLAM,medium,durbin,66
1,128,512,512,CLAM,medium,2mm,852031
1,128,512,512,CLAM,medium,gramschmidt,367677
1,128,512,512,CLAM,medium,3mm,1320488
1,128,512,512,CLAM,medium,adi,1936287
1,128,512,512,CLAM,medium,symm,588471
1,128,512,512,CLAM,medium,syr2k,705894
1,128,512,512,CLAM,medium,cholesky,594232
1,128,512,512,CLAM,medium,atax,10718
1,128,512,512,CLAM,medium,gemver,31535
1,128,512,512,CLAM,medium,gemm,573955
1,128,512,512,CLAM,medium,jacobi-2d,1465013
1,128,512,512,CLAM,medium,jacobi-1d,708
1,128,512,512,CLAM,medium,mvt,21701
1,128,512,512,CLAM,medium,heat-3d,1503538
1,128,512,512,CLAM,medium,trmm,268469
1,128,512,512,CLAM,medium,covariance,479151
1,128,512,512,CLAM,medium,correlation,490177
1,128,512,512,CLAM,medium,trisolv,4974
1,128,512,512,CLAM,medium,ludcmp,1296041
1,128,512,512,CLAM,medium,bicg,11663
1,128,512,512,CLAM,medium,lu,1261852
1,128,512,512,CLAM,medium,seidel-2d,990211
1,128,512,512,CLAM,medium,gesummv,9100
1,128,512,512,CLAM,medium,floyd-warshall,7715116
1,128,512,512,CLAM,medium,doitgen,9730
1,256,512,512,CLAM,small,deriche,24293
1,256,512,512,CLAM,small,fdtd-2d,33473
1,256,512,512,CLAM,small,syrk,700
1,256,512,512,CLAM,small,nussinov,38962
