seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
0,0,SHEL,medium,2mm,155021442,9,0,4,30210908,14020494,4734,0,0,0,0,0,4
0,0,SHEL,medium,3mm,229121805,13,0,4,47110015,21401885,7118,0,0,0,0,0,4
0,0,SHEL,medium,adi,279224115,14,0,4,68320409,10286303,5219248,0,0,0,0,0,4
0,0,SHEL,medium,atax,3365104,8,0,4,1109023,10693,371,0,0,0,0,0,4
0,0,SHEL,medium,bicg,2724141,5,0,4,1269547,10459,184,0,0,0,0,0,4
0,0,SHEL,medium,cholesky,107626427,10,0,4,31462710,697490,5242,0,0,0,0,0,4
0,0,SHEL,medium,correlation,84441092,16,0,4,8477476,14575731,34647,0,0,0,0,0,4
0,0,SHEL,medium,covariance,84246182,11,0,4,8382204,14574638,34641,0,0,0,0,0,4
0,0,SHEL,medium,deriche,29070094,18,0,4,3931212,1598408,777687,0,0,0,0,0,4
0,0,SHEL,medium,doitgen,74304236,8,0,4,19594733,2365271,11567,0,0,0,0,0,4
0,0,SHEL,medium,durbin,1844815,23,0,4,558661,49,0,0,0,0,0,0,4
0,0,SHEL,medium,fdtd-2d,205772725,14,0,4,64776410,2097002,898683,0,0,0,0,0,4
0,0,SHEL,medium,floyd-warshall,1884918530,5,0,4,375105279,7811238,7680777,0,0,0,0,0,4
0,0,SHEL,medium,gemm,127457413,6,0,4,41670682,657320,2853,0,0,0,0,0,4
0,0,SHEL,medium,gemver,5935249,10,0,4,1733289,188715,10161,0,0,0,0,0,4
0,0,SHEL,medium,gesummv,1066511,4,0,4,493178,7824,110,0,0,0,0,0,4
0,0,SHEL,medium,gramschmidt,144281270,14,0,4,18258368,22085632,5737174,0,0,0,0,0,4
0,0,SHEL,medium,heat-3d,322399507,14,0,4,84846501,2952601,729800,0,0,0,0,0,4
0,0,SHEL,medium,jacobi-1d,18170794,104,0,4,2627297,3,0,0,0,0,0,0,4
0,0,SHEL,medium,jacobi-2d,246464910,9,0,4,72232400,1572401,775277,0,0,0,0,0,4
0,0,SHEL,medium,lu,214459196,9,0,4,45176451,18902949,10035,0,0,0,0,0,4
0,0,SHEL,medium,ludcmp,194887572,12,0,4,25014149,18214449,13217,0,0,0,0,0,4
0,0,SHEL,medium,mvt,3207235,6,0,4,790999,169801,176,0,0,0,0,0,4
0,0,SHEL,medium,nussinov,337120064,18,0,4,45651901,17595352,8342,0,0,0,0,0,4
0,0,SHEL,medium,seidel-2d,270759711,8,0,4,63042600,1035401,995025,0,0,0,0,0,4
0,0,SHEL,medium,symm,77519117,7,0,4,19639544,9208458,4442743,0,0,0,0,0,4
0,0,SHEL,medium,syr2k,104825474,6,0,4,23764255,10997587,176362,0,0,0,0,0,4
0,0,SHEL,medium,syrk,70025237,4,0,4,18123506,5070336,8832,0,0,0,0,0,4
0,0,SHEL,medium,trisolv,804399,4,0,4,235790,5210,88,0,0,0,0,0,4
0,0,SHEL,medium,trmm,48382473,6,0,4,6159087,8264914,3055,0,0,0,0,0,4
1,64,CLAM,medium,2mm,155021421,8,0,4,32788021,11443381,45133,6168582,6001755,1,1,5274799,8
1,64,CLAM,medium,3mm,229121775,10,0,4,49804584,18707316,74250,9982026,8781846,0,0,8725290,8
1,64,CLAM,medium,adi,279220724,15,0,4,69644165,8961847,5226904,5882710,3583316,11,3,3079137,8
1,64,CLAM,medium,atax,3365102,10,0,4,1109667,10049,130,10049,10049,8,0,0,8
1,64,CLAM,medium,bicg,2724142,4,0,4,1269959,10047,104,10047,10047,8,0,0,8
1,64,CLAM,medium,cholesky,107626427,10,0,4,31477643,682557,5274,677596,351456,1,0,4961,8
1,64,CLAM,medium,correlation,84441047,17,0,4,11616477,11436730,40701,10681452,2504014,7,5,755278,8
1,64,CLAM,medium,covariance,84246150,10,0,4,11571765,11385077,40161,10678519,2708757,1,1,706558,8
1,64,CLAM,medium,deriche,29070024,18,0,4,3931607,1598009,777594,1119982,906942,14,7,478027,8
1,64,CLAM,medium,doitgen,74304237,7,0,4,21601998,358006,9807,295096,123041,3,1,62910,8
1,64,CLAM,medium,durbin,1844816,22,0,4,558661,49,0,0,0,20,1,0,8
1,64,CLAM,medium,fdtd-2d,205704127,8,0,4,64730553,2078049,898533,2046249,1472492,1,0,31800,8
1,64,CLAM,medium,floyd-warshall,1884914389,4,0,4,375126143,7786232,7660926,7766684,7749695,0,0,19548,8
1,64,CLAM,medium,gemm,127457413,6,0,4,41682047,645955,3145,643624,453700,1,1,2331,8
1,64,CLAM,medium,gemver,5935614,10,0,4,1728899,193103,11408,26849,26473,2,2,166254,8
1,64,CLAM,medium,gesummv,1066511,4,0,4,493245,7757,52,7757,7757,1,0,0,8
1,64,CLAM,medium,gramschmidt,144281270,14,0,4,21507089,18836911,5800800,15111609,12571991,0,0,3725302,8
1,64,CLAM,medium,heat-3d,322407516,13,0,4,86166186,2221816,731098,2044518,1136362,1,0,177298,8
1,64,CLAM,medium,jacobi-1d,18170795,103,0,4,2627297,3,0,0,0,101,0,0,8
1,64,CLAM,medium,jacobi-2d,246462710,9,0,4,72256311,1548490,775365,1534885,1147132,0,0,13605,8
1,64,CLAM,medium,lu,214449590,7,0,4,48295175,15784225,61454,9193388,9130961,0,0,6590837,8
1,64,CLAM,medium,ludcmp,194877950,14,0,4,27280236,15947564,34350,9397756,9337358,5,3,6549808,8
1,64,CLAM,medium,mvt,3207215,4,0,4,800361,160439,709,87433,10577,0,0,73006,8
1,64,CLAM,medium,nussinov,337120268,18,0,4,48860066,14387187,25207,12213808,6235843,1,0,2173379,8
1,64,CLAM,medium,seidel-2d,270759711,8,0,4,63085358,992643,989988,992512,905505,0,0,131,8
1,64,CLAM,medium,symm,77519117,7,0,4,22485760,6362242,1573022,5397509,2167627,1,0,964733,8
1,64,CLAM,medium,syr2k,104825474,6,0,4,26448657,8313185,85141,7330521,3123422,1,0,982664,8
1,64,CLAM,medium,syrk,70025237,4,0,4,20659567,2534275,77967,1644180,633452,1,0,890095,8
1,64,CLAM,medium,trisolv,804399,4,0,4,235827,5173,51,5173,5173,2,2,0,8
1,64,CLAM,medium,trmm,48382473,6,0,4,8545649,5878352,10782,4896576,1943133,0,0,981776,8
1,64,C-SHEL,medium,2mm,155021442,9,0,4,36784073,7447329,9675,6801551,3028777,1,1,645778,8
1,64,C-SHEL,medium,3mm,229121806,12,0,4,56708164,11803736,14534,10850304,5062725,0,0,953432,8
1,64,C-SHEL,medium,adi,279224115,14,0,4,69666076,8940636,5186979,8919561,8754191,208,3,21075,8
1,64,C-SHEL,medium,correlation,84441092,16,0,4,11717167,11336040,39250,10762009,3167678,7,5,574031,8
1,64,C-SHEL,medium,covariance,84246182,11,0,4,11586725,11370117,39825,10708314,2694697,1,1,661803,8
