seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
0,0,SHEL,medium,2mm,155021443,8,0,479106410,33554436,30495159,13736243,8672,33554436,12779292,965631,5151,0,0,0,0,0,4
0,0,SHEL,medium,3mm,229121807,11,0,740985495,33554436,47020559,21491341,13518,33554436,19869775,1635095,7542,0,0,0,0,0,4
0,0,SHEL,medium,adi,279224115,14,0,1324587981,33554436,45461609,33145103,16440177,33554436,46528909,3056385,1767690,0,0,0,0,0,4
0,0,SHEL,medium,atax,3365102,10,0,4288286,33554436,1096464,23252,6359,33554436,19611,10010,442,0,0,0,0,0,4
0,0,SHEL,medium,bicg,2724139,7,0,4613408,33554436,1228118,51888,20760,33554436,62608,10047,465,0,0,0,0,0,4
0,0,SHEL,medium,cholesky,107626426,11,0,147699535,33554436,31453943,706257,5244,33554436,19741,691771,5445,0,0,0,0,0,4
0,0,SHEL,medium,correlation,84441091,17,0,870739648,33554436,8441704,14611503,35855,33554436,1506802,13140573,35008,0,0,0,0,0,4
0,0,SHEL,medium,covariance,84246181,12,0,870221299,33554436,8351912,14604930,34641,33554436,1504092,13135491,35013,0,0,0,0,0,4
0,0,SHEL,medium,deriche,29070094,18,0,182022469,33554436,1987214,3542406,1425666,33554436,3366874,1601216,778692,0,0,0,0,0,4
0,0,SHEL,medium,doitgen,74304235,9,0,169256001,33554436,17466896,4493108,21660,33554436,4507421,7356,7310,0,0,0,0,0,4
0,0,SHEL,medium,durbin,1844815,23,0,1848955,33554436,558661,49,2,33554436,3,71,0,0,0,0,0,0,4
0,0,SHEL,medium,fdtd-2d,205772724,15,0,689023613,33554436,51389411,15484001,5356266,33554436,18736832,2103450,904812,0,0,0,0,0,4
0,0,SHEL,medium,floyd-warshall,1884921847,4,0,2337999606,33554436,375107938,7811895,7685344,33554436,7618318,7878925,7685322,0,0,0,0,0,4
0,0,SHEL,medium,gemm,127457413,6,0,166508448,33554436,41652396,675606,7634,33554436,13856,669390,4258,0,0,0,0,0,4
0,0,SHEL,medium,gemver,5935258,10,0,12173698,33554436,1684951,237051,12763,33554436,218932,30892,10573,0,0,0,0,0,4
0,0,SHEL,medium,gesummv,1066511,4,0,2074491,33554436,477114,23888,10160,33554436,26185,7867,528,0,0,0,0,0,4
0,0,SHEL,medium,gramschmidt,144281270,14,0,734247853,33554436,17241796,23102204,5793552,33554436,28407377,488393,416397,0,0,0,0,0,4
0,0,SHEL,medium,heat-3d,322399505,16,0,460633062,33554436,84846501,2952601,729800,33554436,1891513,1790904,730042,0,0,0,0,0,4
0,0,SHEL,medium,jacobi-1d,18164859,6039,0,18795793,33554436,2617444,9856,3222,33554436,19019,98,0,0,0,0,0,0,4
0,0,SHEL,medium,jacobi-2d,246464909,10,0,337241917,33554436,72248200,1556601,775280,33554436,775273,1556618,775410,0,0,0,0,0,4
0,0,SHEL,medium,lu,214459195,10,0,605462660,33554436,47852917,16226483,10042,33554436,14859568,1376967,10233,0,0,0,0,0,4
0,0,SHEL,medium,ludcmp,194887567,17,0,589578164,33554436,26910113,16318485,86404,33554436,15017558,1387348,10703,0,0,0,0,0,4
0,0,SHEL,medium,mvt,3207236,5,0,7741256,33554436,780124,180676,399,33554436,160933,20147,560,0,0,0,0,0,4
0,0,SHEL,medium,nussinov,337120268,18,0,805564561,33554436,44797275,18449978,8341,33554436,16832866,1625471,8705,0,0,0,0,0,4
0,0,SHEL,medium,seidel-2d,270759711,8,0,337365874,33554436,63078000,1000001,995025,33554436,963152,1031882,995024,0,0,0,0,0,4
0,0,SHEL,medium,symm,77519117,7,0,338872434,33554436,20506300,8341702,3970376,33554436,11689785,622300,300725,0,0,0,0,0,4
0,0,SHEL,medium,syr2k,104825474,6,0,383780969,33554436,23618778,11143064,528312,33554436,10825209,846173,3159,0,0,0,0,0,4
0,0,SHEL,medium,syrk,70025237,4,0,169750220,33554436,19265679,3928163,294351,33554436,3868733,353785,2609,0,0,0,0,0,4
0,0,SHEL,medium,trisolv,804399,4,0,1109420,33554436,235673,5327,128,33554436,203,5256,511,0,0,0,0,0,4
0,0,SHEL,medium,trmm,48382473,6,0,229920629,33554436,6283866,8140135,3727,33554436,7854615,289253,3041,0,0,0,0,0,4
1,64,CLAM,medium,2mm,155021420,9,0,5,33554436,30495159,13736243,8672,33554436,12789883,955041,5286,806071,643843,1,1,148970,8
1,64,CLAM,medium,3mm,229121775,10,0,5,33554436,47020559,21491341,13518,33554436,20033588,1471281,7702,1202462,951827,0,0,268819,8
1,64,CLAM,medium,adi,279220724,15,0,5,33554436,45461209,33144803,16440176,33554436,46875487,2709507,1782577,1683760,1199736,104,3,1025747,8
1,64,CLAM,medium,atax,3365102,10,0,5,33554436,1096464,23252,6359,33554436,19832,9789,180,9789,9789,31,26,0,8
1,64,CLAM,medium,bicg,2724139,7,0,5,33554436,1228118,51888,20760,33554436,62863,9792,157,9792,9792,2,2,0,8
1,64,CLAM,medium,cholesky,107626426,11,0,5,33554436,31453943,706257,5244,33554436,94185,617327,5468,591621,300346,32,29,25706,8
1,64,CLAM,medium,correlation,84441048,16,0,5,33554436,8441704,14611503,35855,33554436,13641117,1006257,35048,457883,61411,39,38,548374,8
1,64,CLAM,medium,covariance,84246150,10,0,5,33554436,8351912,14604930,34641,33554436,13639269,1000312,35020,456465,62849,0,0,543847,8
1,64,CLAM,medium,deriche,29070024,18,0,5,33554436,1987212,3542404,1425664,33554436,3381864,1586222,752690,502268,258231,16,13,1083954,8
1,64,CLAM,medium,doitgen,74304235,9,0,5,33554436,17466896,4493108,21660,33554436,4507399,7378,7363,7378,7378,4,3,0,8
1,64,CLAM,medium,durbin,1844815,23,0,5,33554436,558661,49,2,33554436,3,71,0,0,0,59,56,0,8
1,64,CLAM,medium,fdtd-2d,205704126,9,0,5,33554436,51338701,15469901,5356164,33554436,18720052,2106022,901303,1688338,933771,0,0,417684,8
1,64,CLAM,medium,floyd-warshall,1884921847,4,0,5,33554436,375107938,7811895,7685344,33554436,7784803,7712440,7564325,7686832,4828941,2,2,25608,8
1,64,CLAM,medium,gemm,127457413,6,0,5,33554436,41652396,675606,7634,33554436,110425,572821,4031,567499,387765,1,1,5322,8
1,64,CLAM,medium,gemver,5935613,11,0,5,33554436,1684951,237051,12763,33554436,215675,34150,10347,24032,22718,109,107,10118,8
1,64,CLAM,medium,gesummv,1066511,4,0,5,33554436,477114,23888,10160,33554436,26533,7519,111,7519,7519,15,1,0,8
1,64,CLAM,medium,gramschmidt,144281270,14,0,5,33554436,17241796,23102204,5793552,33554436,28479203,416567,386843,354255,315805,2,2,62312,8
1,64,CLAM,medium,heat-3d,322407515,14,0,5,33554436,85420000,2968002,739100,33554436,2199414,1507702,729827,1485539,1210571,17,7,22163,8
1,64,CLAM,medium,jacobi-1d,18164859,6039,0,5,33554436,2617444,9856,3222,33554436,19019,98,0,0,0,104,2,0,8
1,64,CLAM,medium,jacobi-2d,246462710,9,0,5,33554436,72248200,1556601,775280,33554436,824250,1507640,774523,1455772,1070489,204,96,51868,8
1,64,CLAM,medium,lu,214449588,9,0,5,33554436,47852917,16226483,10042,33554436,14690273,1546261,10255,799498,752476,2,2,746763,8
1,64,CLAM,medium,ludcmp,194877949,15,0,5,33554436,26909714,16318086,86010,33554436,14877730,1526381,10731,856549,761631,124,110,669832,8
1,64,CLAM,medium,mvt,3207215,4,0,5,33554436,780124,180676,399,33554436,161010,20069,581,19687,19405,25,25,382,8
1,64,CLAM,medium,nussinov,337120268,18,0,5,33554436,44797275,18449978,8341,33554436,16785781,1672556,8720,1181928,1127753,35,32,490628,8
