seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
0,0,CLAM,small,2mm,3195760,10,0,4,792626,115776,447,0,0,0,0,0,4
0,0,CLAM,small,3mm,5483944,11,0,4,1387324,240976,642,0,0,0,0,0,4
0,0,CLAM,small,adi,9657653,16,0,4,2489862,224830,128280,0,0,0,0,0,4
0,0,CLAM,small,atax,304227,7,0,4,99939,873,80,0,0,0,0,0,4
0,0,CLAM,small,bicg,246306,5,0,4,114416,896,100,0,0,0,0,0,4
0,0,CLAM,small,cholesky,2966629,8,0,4,860085,18375,591,0,0,0,0,0,4
0,0,CLAM,small,correlation,3782373,15,0,4,467671,567136,4027,0,0,0,0,0,4
0,0,CLAM,small,covariance,3755783,10,0,4,455567,566315,4022,0,0,0,0,0,4
0,0,CLAM,small,deriche,2075032,20,0,4,279572,113664,55383,0,0,0,0,0,4
0,0,CLAM,small,doitgen,4775640,7,0,4,1394115,887,887,0,0,0,0,0,4
0,0,CLAM,small,durbin,172786,22,0,4,50013,15,0,0,0,0,0,0,4
0,0,CLAM,small,fdtd-2d,8174705,14,0,4,2563574,83398,35926,0,0,0,0,0,4
0,0,CLAM,small,floyd-warshall,88112252,4,0,4,17508919,359400,338930,0,0,0,0,0,4
0,0,CLAM,small,gemm,4104433,6,0,4,1335040,17362,382,0,0,0,0,0,4
0,0,CLAM,small,gemver,537415,12,0,4,158685,14717,1030,0,0,0,0,0,4
0,0,CLAM,small,gesummv,139151,4,0,4,64182,980,80,0,0,0,0,0,4
0,0,CLAM,small,gramschmidt,4839797,10,0,4,1136909,209491,106884,0,0,0,0,0,4
0,0,CLAM,small,heat-3d,13754691,13,0,4,3653521,78961,33208,0,0,0,0,0,4
0,0,CLAM,small,jacobi-1d,2173096,102,0,4,311677,3,0,0,0,0,0,0,4
0,0,CLAM,small,jacobi-2d,12454771,8,0,4,3636880,80241,39754,0,0,0,0,0,4
0,0,CLAM,small,lu,5862837,7,0,4,1570371,164649,955,0,0,0,0,0,4
0,0,CLAM,small,ludcmp,5458470,13,0,4,1145710,57268,1115,0,0,0,0,0,4
0,0,CLAM,small,mvt,290196,5,0,4,73200,13440,133,0,0,0,0,0,4
0,0,CLAM,small,nussinov,16076703,15,0,4,2618400,393813,1268,0,0,0,0,0,4
0,0,CLAM,small,seidel-2d,9643209,8,0,4,2276800,36001,35447,0,0,0,0,0,4
0,0,CLAM,small,symm,2386248,7,0,4,758136,110666,47040,0,0,0,0,0,4
0,0,CLAM,small,syr2k,3573954,6,0,4,944562,228320,1713,0,0,0,0,0,4
0,0,CLAM,small,syrk,2397877,4,0,4,743780,40302,426,0,0,0,0,0,4
0,0,CLAM,small,trisolv,73319,4,0,4,21361,539,116,0,0,0,0,0,4
0,0,CLAM,small,trmm,1488447,6,0,4,393905,40496,355,0,0,0,0,0,4
1,64,CLAM,small,2mm,3195741,7,0,4,883088,25314,567,9721,8960,1,1,15593,8
1,64,CLAM,small,3mm,5483913,9,0,4,1593800,34500,750,21359,17069,0,0,13141,8
1,64,CLAM,small,adi,9656304,15,0,4,2595827,118585,76837,59924,35733,8,1,58661,8
1,64,CLAM,small,atax,304227,7,0,4,99983,829,41,829,829,0,0,0,8
1,64,CLAM,small,bicg,246306,5,0,4,114481,831,35,831,831,0,0,0,8
1,64,CLAM,small,cholesky,2966629,8,0,4,862475,15985,603,15102,7951,1,0,883,8
1,64,CLAM,small,correlation,3782328,16,0,4,763821,270986,5010,143974,20346,327,10,127012,8
1,64,CLAM,small,covariance,3755750,10,0,4,754810,267072,4886,150262,21428,81,1,116810,8
1,64,CLAM,small,deriche,2074963,19,0,4,284471,108761,52882,15411,15117,14,7,93350,8
1,64,CLAM,small,doitgen,4775640,7,0,4,1394121,881,881,881,881,1,0,0,8
1,64,CLAM,small,durbin,172786,22,0,4,50013,15,0,0,0,20,1,0,8
1,64,CLAM,small,fdtd-2d,8164867,8,0,4,2564073,74569,35639,65205,51889,1,0,9364,8
1,64,CLAM,small,floyd-warshall,88113787,4,0,4,17523827,346027,335157,341569,121924,0,0,4458,8
1,64,CLAM,small,gemm,4104433,6,0,4,1337386,15016,424,14171,6179,1,1,845,8
1,64,CLAM,small,gemver,537492,11,0,4,168613,4789,968,2236,1762,122,10,2553,8
1,64,CLAM,small,gesummv,139151,4,0,4,64220,942,21,942,942,91,0,0,8
1,64,CLAM,small,gramschmidt,4839797,10,0,4,1328239,18161,15700,12094,2045,0,0,6067,8
1,64,CLAM,small,heat-3d,13753576,11,0,4,3661551,70931,33130,64787,46684,1,0,6144,8
1,64,CLAM,small,jacobi-1d,2173096,102,0,4,311677,3,0,0,0,2,1,0,8
1,64,CLAM,small,jacobi-2d,12453890,9,0,4,3641592,75529,39519,70612,53480,0,0,4917,8
1,64,CLAM,small,lu,5859950,7,0,4,1693649,41371,1035,31789,22279,0,0,9582,8
1,64,CLAM,small,ludcmp,5455573,11,0,4,1159991,42749,1021,32203,22034,5,3,10546,8
1,64,CLAM,small,mvt,290175,4,0,4,84212,2428,146,1712,601,0,0,716,8
1,64,CLAM,small,nussinov,16076703,15,0,4,2845836,166377,2070,59418,42902,1,0,106959,8
1,64,CLAM,small,seidel-2d,9643209,8,0,4,2280743,32058,31673,31284,12866,0,0,774,8
1,64,CLAM,small,symm,2386248,7,0,4,847026,21776,10311,14147,6508,1,0,7629,8
1,64,CLAM,small,syr2k,3573954,6,0,4,1093571,79311,2432,15186,6657,1,0,64125,8
1,64,CLAM,small,syrk,2397877,4,0,4,773231,10851,512,6502,3314,1,0,4349,8
1,64,CLAM,small,trisolv,73319,4,0,4,21402,498,15,498,498,2,2,0,8
1,64,CLAM,small,trmm,1488447,6,0,4,424758,9643,358,5321,1750,0,0,4322,8
1,64,C-SHEL,small,2mm,3195760,10,0,4,893136,15266,474,12272,4741,1,1,2994,8
1,64,C-SHEL,small,3mm,5483944,11,0,4,1601430,26870,663,25209,13104,0,0,1661,8
1,64,C-SHEL,small,adi,9657653,16,0,4,2634227,80465,55761,77522,54396,88,25,2943,8
1,64,C-SHEL,small,correlation,3782373,15,0,4,780054,254753,4734,165205,22527,87,5,89548,8
1,64,C-SHEL,small,covariance,3755783,10,0,4,764549,257333,4744,163544,22909,81,1,93789,8
1,64,C-SHEL,small,deriche,2075032,20,0,4,303790,89446,46102,88720,72734,17,9,726,8
1,64,C-SHEL,small,fdtd-2d,8174705,14,0,4,2569423,77549,35619,73981,59282,128,2,3568,8
1,64,C-SHEL,small,gemver,537415,12,0,4,160904,12498,997,12367,11781,122,10,131,8
1,64,C-SHEL,small,heat-3d,13754691,13,0,4,3661695,70787,33164,65017,46620,1,0,5770,8
1,64,C-SHEL,small,jacobi-2d,12454771,8,0,4,3642608,74513,39439,71387,55483,0,0,3126,8
1,64,C-SHEL,small,lu,5862837,7,0,4,1695514,39506,985,35258,27906,0,0,4248,8
1,64,C-SHEL,small,ludcmp,5458470,13,0,4,1162486,40492,1117,37051,29701,124,10,3441,8
1,64,C-SHEL,small,mvt,290196,5,0,4,74457,12183,142,11979,11354,0,0,204,8
1,64,PRL,small,2mm,3195741,7,0,4,892496,15906,455,15239,12733,1,1,667,8
1,64,PRL,small,3mm,5483913,9,0,4,1598541,29759,645,29389,27364,0,0,370,8
