seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
0,0,SHEL,small,2mm,3195759,11,0,3953740,33554436,874474,33928,577,33554436,33481,1035,694,0,0,0,0,0,4
0,0,SHEL,small,3mm,5483944,11,0,6873993,33554436,1565843,62457,912,33554436,61571,1809,881,0,0,0,0,0,4
0,0,SHEL,small,adi,9657654,15,0,43628189,33554436,1602133,1112559,563908,33554436,1611337,65145,53736,0,0,0,0,0,4
0,0,SHEL,small,atax,304227,7,0,377811,33554436,99090,1722,497,33554436,1329,897,469,0,0,0,0,0,4
0,0,SHEL,small,bicg,246304,7,0,557223,33554436,105766,9546,4352,33554436,13003,902,473,0,0,0,0,0,4
0,0,SHEL,small,cholesky,2966629,8,0,3470470,33554436,857579,20881,594,33554436,19839,1644,634,0,0,0,0,0,4
0,0,SHEL,small,correlation,3782371,17,0,14050839,33554436,557187,477620,4194,33554436,477288,4543,3249,0,0,0,0,0,4
0,0,SHEL,small,covariance,3755782,11,0,13976109,33554436,545486,476396,4030,33554436,476215,4222,3095,0,0,0,0,0,4
0,0,SHEL,small,deriche,2075033,19,0,9654012,33554436,141447,251789,101442,33554436,331619,21631,9733,0,0,0,0,0,4
0,0,SHEL,small,doitgen,4775640,7,0,4868440,33554436,1392468,2534,1219,33554436,2811,949,878,0,0,0,0,0,4
0,0,SHEL,small,durbin,172785,23,0,174966,33554436,50013,15,1,33554436,2,37,0,0,0,0,0,0,4
0,0,SHEL,small,fdtd-2d,8174705,14,0,26856233,33554436,2038811,608161,210546,33554436,741780,76941,36334,0,0,0,0,0,4
0,0,SHEL,small,floyd-warshall,88117845,4,0,109232533,33554436,17509793,364119,347420,33554436,341592,369951,347430,0,0,0,0,0,4
0,0,SHEL,small,gemm,4104433,6,0,4592679,33554436,1330417,21985,541,33554436,21842,690,301,0,0,0,0,0,4
0,0,SHEL,small,gemver,537417,10,0,932647,33554436,159366,14036,1320,33554436,12866,2500,1388,0,0,0,0,0,4
0,0,SHEL,small,gesummv,139151,4,0,334173,33554436,60321,4841,3200,33554436,7011,1034,507,0,0,0,0,0,4
0,0,SHEL,small,gramschmidt,4839797,10,0,5829193,33554436,1315642,30758,20906,33554436,50794,880,854,0,0,0,0,0,4
0,0,SHEL,small,heat-3d,13754691,13,0,18007619,33554436,3659681,72801,33210,33554436,33276,72748,33358,0,0,0,0,0,4
0,0,SHEL,small,jacobi-1d,2171357,1841,0,2243877,33554436,311677,3,0,33554436,1747,97,0,0,0,0,0,0,4
