00000000,00000000,00000000,00800000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,ffffffff,00000fff,00000000,e3fbfdfc,afefeff7,00000edf,00000000,00000000,00000000,00000000,00000000,000000ff,00000000,00000000,00000000
00000000,ffffffff,00003fff,00000000,fbfbbefc,ffeeffd7,00003edf,00000000,00000000,00000000,00000000,00000000,000001ff,00000000,00000000,00000000
00000000,ffffffff,0003ffff,00000000,ffbbf6fc,ffefdfb7,00036fdf,00000000,00000000,00000000,00000000,00000000,000002ff,00000000,00000000,00000000
00000000,ffffffff,00bfffff,00000000,fbfbfedc,ffcffff7,00d6ffdd,00000000,00000000,00000000,00000000,00000000,000003ff,00000000,00000000,00000000
00000000,ffffffff,01ffffff,00000000,fffb7ffc,ffeffe97,01bffbdb,00000000,00000000,00000000,00000000,00000000,000004ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,00000000,ffcbddf8,bfcffff7,f7ffffdf,00000000,00000000,00000000,00000000,00000000,000005ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,0000000f,f7ebfffc,ffefffe7,7ffffedd,0000000f,00000000,00000000,00000000,00000000,000006ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,000000ff,fffbffdc,ffef7ff7,fbbfff5b,000000df,00000000,00000000,00000000,00000000,000007ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,00003fff,fff3fffc,3fafbff7,ffeffe9f,00003fff,00000000,00000000,00000000,00000000,000008ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,0000ffff,fffb6ef0,bfefeff7,ffefffdf,0000bfff,00000000,00000000,00000000,00000000,000009ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,007fffff,fffbfffc,ffefdff7,f9ff7fdd,0077ffff,00000000,00000000,00000000,00000000,00000aff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,0fffffff,fbfbfffc,ffcffff7,ffffffdf,0bbdffb7,00000000,00000000,00000000,00000000,00000bff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,f3fbfffc,ffefeff7,ffffffdf,feefbfff,00000000,00000000,00000000,00000000,00000cff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffb7ffd,ffef6ff7,9effffdf,ffeffbfd,00000000,00000000,00000000,00000000,00000dff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffb7ffd,f7cff7f7,fff4ffdf,ffffdeff,00000000,00000000,00000000,00000000,00000eff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffbfffff,bffbfffc,f7effff7,7fdbffdb,f7fffeff,00000000,00000000,00000000,00000000,00000fff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fffffff7,fffbfffd,f7effff7,fdfbffdb,ffbfffef,00000000,00000000,00000000,00000000,000010ff,00000000,00000000,00000000
00000000,ffffefff,ffffffff,ffffffff,fffbfffd,ffeff7f7,ffffffdf,fbbfdff7,00000000,00000000,00000000,00000000,000011ff,00000000,00000000,00000000
00000000,ffffefff,fffeffff,ffffffff,fffbdfdd,dfeffff7,edffffdf,ffffeff7,00000000,00000000,00000000,00000000,000012ff,00000000,00000000,00000000
00000000,ffffefff,ffffffff,ffffffff,fffbff7f,dfcb7ff7,ffffffdf,effbefef,00000000,00000000,00000000,00000000,000013ff,00000000,00000000,00000000
00000000,ffffefff,ffffffff,ffffffff,fffbff7f,ffeffff7,df5fffde,deefefff,00000000,00000000,00000000,00000000,000014ff,00000000,00000000,00000000
00000000,ffffefff,ffffffff,ffffffff,7ffbef7f,ffebffff,63fdff5e,ffffebff,00000000,00000000,00000000,00000000,000015ff,00000000,00000000,00000000
